id,PreScreen_Q1,Commitment_Q1,Commitment_Q2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Manipulation_Q1,QD2,QD2_1_TEXT,QD3_1,QD3_2,QD3_3,QD3_4,QD3_5,QD3_6,QD3_7,QD4,QD5,rnum,pi1,pi2,pi3,pi4,pi5,pi6,pi7,rnum_age,age1,age2,first_name1,first_name2,pol_exp1,pol_exp2,career1,career2
73,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 1,Age,33,,,,,White,,,No,Female,0.7886679379243097,0,0,0,0,0.5,1,1,0.916570761221594,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
74,Yes,"Yes, I will",purple,,,,,,,Candidate 1,,Candidate 2,Age,58,,,,,White,,,Yes,Female,0.0087094989159865,0,0,0,0,0.5,1,1,0.4653056269663632,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
75,Yes,"Yes, I will",purple,,,,Candidate 2,,,,,Candidate 1,Age,22,,,,,White,,,No,Female,0.9609833639024252,0,0,0,0,0.5,1,1,0.571124995027465,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
76,Yes,"Yes, I will",Purple,Candidate 2,,,,,,,,Candidate 1,Age,40,,,,,White,,,No,Female,0.26978455350496444,0,0,0,0,0.5,1,1,0.8259485670891471,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
77,Yes,"Yes, I will",purple,,,,,,Candidate 1,,,Candidate 2,Age,23,,,,,White,,,No,Female,0.48391080030331174,0,0,0,0,0.5,1,1,0.3322045685099914,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
78,Yes,"Yes, I will",purple,Candidate 1,,,,,,,,Candidate 2,Age,24,,,,,White,,,No,Female,0.6523914990602973,0,0,0,0,0.5,1,1,0.44016327626075674,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
79,Yes,"Yes, I will",purple,,,,,Candidate 1,,,,Candidate 2,Age,22,,,,,White,,,No,Female,0.15252006918949076,0,0,0,0,0.5,1,1,0.4838875437816343,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
80,Yes,"Yes, I will",purple,,,,,Candidate 1,,,,Candidate 2,Age,48,,,,,White,,,No,Male,0.1355069068110331,0,0,0,0,0.5,1,1,0.29061464343467136,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
81,Yes,"Yes, I will",Purple,,,Candidate 2,,,,,,Candidate 2,Age,43,,,Black or African American,,,,,No,Female,0.2840414627650849,0,0,0,0,0.5,1,1,0.3777210415289088,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
82,Yes,"Yes, I will",purple,,,,Candidate 1,,,,,Candidate 1,Age,36,,Asian,,,,,,No,Female,0.9343532421473304,0,0,0,0,0.5,1,1,0.8951399672997976,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
83,Yes,"Yes, I will",purple,,,Candidate 2,,,,,,Candidate 2,Age,36,,,Black or African American,,,,,Yes,Male,0.938616717918454,0,0,0,0,0.5,1,1,0.14220984842214032,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
84,Yes,"Yes, I will",purple,,,,,,,Candidate 1,,Candidate 2,Age,49,,,,,White,,,No,Male,0.951780247490802,0,0,0,0,0.5,1,1,0.28076189250703015,49,62,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
85,Yes,"Yes, I will",purple,,,,,Candidate 1,,,,Candidate 2,Age,50,,,,,White,,,No,Male,0.4993812461615031,0,0,0,0,0.5,1,1,0.31013657835082536,49,62,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
86,Yes,"Yes, I will",purple,,Candidate 1,,,,,,,Candidate 1,Age,61,,,,,White,,,No,Female,0.4681987251313866,0,0,0,0,0.5,1,1,0.972118835889762,62,49,Tremayne Rivers,Rasheed Mosely,Member of Congress,State legislator,Restaurant owner,Small business owner
87,Yes,"Yes, I will",Purple,,,,,,Candidate 2,,,Candidate 1,Age,48,,,,,White,,,No,Male,0.5116546117960602,0,0,0,0,0.5,1,1,0.7057812746394848,62,49,Tremayne Rivers,Rasheed Mosely,No experience,No experience,Restaurant owner,Small business owner
